,Image Captions,id,date,likes,username,media,inferred company,Tweet Text Generated
2010,,2011,2020-10-08 19:00:04,253,BBCEarth,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1314279401610149888/pu/img/AEJ2I_UsctpHugR9.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1314279401610149888/pu/vid/600x338/D2NoODcDwwgDi9RZ.mp4?tag=10', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1314279401610149888/pu/vid/478x270/u3g_UxPqZxlFGJdI.mp4?tag=10', bitrate=256000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1314279401610149888/pu/pl/9a_rsl4Izol0NnLz.m3u8?tag=10', bitrate=None)], duration=5.6, views=7640)]",bbc,"

Example of a tweet generated by the bot:
""🌟Exciting news! 🌎Our new #BBCEarth documentary is coming soon! 📹Get ready to explore the wonders of the natural world with breathtaking visuals and fascinating insights. Don't miss it! 👀#BBC #Nature #Documentary""

Please provide the tweet you generated based on the information provided."
2011,,2012,2020-07-02 09:30:00,510,BBCArchive,"[Video(thumbnailUrl='https://pbs.twimg.com/media/EScLz2bXYAAB-n1.jpg', variants=[VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/amplify_video/1235966150456102917/pl/xxnusX2m6OHL6j5x.m3u8?tag=13', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1235966150456102917/vid/360x270/6wXdj7MI9WKfzELY.mp4?tag=13', bitrate=288000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1235966150456102917/vid/480x360/x1c9EFYFsRjO2JKE.mp4?tag=13', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1235966150456102917/vid/640x480/AeDRmB7b58sjFyRB.mp4?tag=13', bitrate=2176000)], duration=342.72, views=55505)]",bbc,"

Here's the tweet I generated based on the given information:

""Explore the fascinating history of #BBCArchive's most iconic moments! 📚🎬 From the birth of #DoctorWho to the #Titanic disaster, uncover the stories that shaped our world. 🌎🎥 #BBC #History #Moments"""
2012,Image1 : sausage and sausage cut into pieces on a white plate. ,2013,2019-05-13 05:49:39,8,DancesWithTamis,"[Photo(previewUrl='https://pbs.twimg.com/media/D6bMEMiUYAAagRE?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/D6bMEMiUYAAagRE?format=jpg&name=large')]",tam,"

Tweet: 🥘👀 Did you know that our delicious sausages are now available in bite-sized pieces? 😍 Perfect for snacking on the go! 🚀 #TamSnacks #SausageLove #EasyMeals"
2013,,2014,2018-07-10 17:14:26,5579,BBCSport,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1016731446503989248/pu/img/ZhwTvW4J4Za5Iknl.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1016731446503989248/pu/vid/240x240/J2ft9CmsWNVm4eC5.mp4?tag=3', bitrate=256000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1016731446503989248/pu/vid/480x480/HQYenE_-pDU9ZZTM.mp4?tag=3', bitrate=832000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1016731446503989248/pu/pl/5TS2h-qjMsMtbSfr.m3u8?tag=3', bitrate=None)], duration=6.76, views=558543)]",bbc,"

Here is the tweet generated based on the given information:

""🚨🏈💥 Exciting news for #Football fans! 📰🏆 BBC Sport reports that @ManUtd are set to face @Arsenal in the #EPL Semifinals! 🔥 Who will come out on top? 🤔 #Gunners #RedDevils #EPL #Soccer"""
2014,Image1 : a soccer player is sliding to the ground. ,2015,2019-12-22 14:30:00,182,BBCSport,"[Photo(previewUrl='https://pbs.twimg.com/media/EMZbI-LWoAMI1yU?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EMZbI-LWoAMI1yU?format=jpg&name=large')]",bbc,"

Image1 : A soccer player slides to the ground after a tackle during a match. 🏈💨 #BBCSport #Soccer #Injury"
2015,,2016,2019-08-14 15:49:38,230,HoHighlights,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1161666151807692801/pu/img/23IYOJyogVxj3j4T.jpg', variants=[VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1161666151807692801/pu/pl/PnLMZ5sGH9iRkHnG.m3u8?tag=10', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1161666151807692801/pu/vid/320x568/bvpQLOriaHN_gzc6.mp4?tag=10', bitrate=632000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1161666151807692801/pu/vid/720x1280/qxnDzhhx4bQh5Tc1.mp4?tag=10', bitrate=2176000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1161666151807692801/pu/vid/360x640/9oz2VvLfEhXNvZsz.mp4?tag=10', bitrate=832000)], duration=27.833, views=7314)]",house,"
Tweet:
🏠 Just in: Our latest home design trends report is here! 📊 From minimalist to bohemian, we've got you covered. 🏠 Check it out and give your home a fresh new look! 👉🏼 #HoHighlights #HomeDesign #InteriorInspo #DesignTrends"
2016,Image1 : a young man holding a sign in front of a mural. ,2017,2020-10-18 04:00:04,189,UNICEF,"[Photo(previewUrl='https://pbs.twimg.com/media/EklUEJRXIAEBllF?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EklUEJRXIAEBllF?format=jpg&name=large')]",unicef,"

Image1 : a young man holding a sign in front of a mural.

Tweet: 🚨 Calling all youth! 🚨 Stand up for your rights and demand a brighter future! Join us in the fight against inequality and discrimination. Together, we can create a world where every child has the chance to thrive. #YouthForChange #Unicef # equality #humanrights "
2017,,2018,2018-04-25 11:54:26,224,BBCDerbySport,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/989110025175040002/pu/img/qlMtViRYLqnRWboT.jpg', variants=[VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/989110025175040002/pu/pl/z1rnWJATNg9JAB_f.m3u8?tag=3', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/989110025175040002/pu/vid/320x180/lbCn6Z_Fi7Ovt3Sy.mp4?tag=3', bitrate=256000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/989110025175040002/pu/vid/1280x720/AlF6mXNiyU_77iv8.mp4?tag=3', bitrate=2176000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/989110025175040002/pu/vid/640x360/aOgUnjHUCWM4UeXp.mp4?tag=3', bitrate=832000)], duration=76.41, views=7130)]",bbc,"

Tweet:
🚨Breaking News!🚨 BBC Derby Sports has just announced their brand new line of state-of-the-art fitness equipment! 💪🏼🏋️‍♀️ Get ready to elevate your workout game with these cutting-edge machines! 💥 #BBCDerbySports #FitnessEquipment #WorkoutGoals"
2018,Image1 : a man is standing on a skateboard in the snow. ,2019,2018-10-12 10:52:00,290,BBC6Music,"[Photo(previewUrl='https://pbs.twimg.com/media/DpTWoRhXcAAPoLo?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DpTWoRhXcAAPoLo?format=jpg&name=large')]",bbc,"

Tweet:
🎥🎮 BBC6Music's newest presenter is taking the snowboarding world by storm! 😱🏂 Watch as they show off their skills on the slopes in this epic snowboarding adventure! 🎥 #Snowboarding #SnowboardingAdventures #BBC6Music"
2019,Image1 : prince harry and meghan markle. ,2020,2020-02-23 01:46:52,89,Daily_Express,"[Photo(previewUrl='https://pbs.twimg.com/media/ERbLL9CWkAAe9Un?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ERbLL9CWkAAe9Un?format=jpg&name=large')]",express,"

Tweet: 📸 Prince Harry and Meghan Markle steal the show at a glamorous event! 💃🏻🕺🏻 Check out their red-carpet looks inside! #Royals #CelebritySighting #DailyExpress

This tweet is written in a style that is similar to how a human would write a tweet. It includes a catchy headline, a question, and a call to action. The use of hashtags is also appropriate and relevant to the topic of the tweet. The tweet is written in a way that is easy to read and understand, and it is likely that it would be engaging and attention-grabbing for the target audience."
2020,Image1 : to the mountains - a life in afghanistan. ,2021,2018-03-27 14:18:27,18,tamhussein,"[Photo(previewUrl='https://pbs.twimg.com/media/DZTRfxZW0AIBv3l?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DZTRfxZW0AIBv3l?format=jpg&name=large')]",tam,"
Tweet:
""Afghans have always been connected to the mountains. They are a source of strength, solace, and inspiration. As I stand on this peak, I am reminded of the resilience and beauty of my people. #TamHussein #Afghanistan #Mountains #Nature"""
2021,Image1 : the team list for the premier league. ,2022,2020-09-12 07:35:00,618,SkyBetChamp,"[Photo(previewUrl='https://pbs.twimg.com/media/EhohcXiXcAAuz-J?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EhohcXiXcAAuz-J?format=jpg&name=large')]",sky,"

Image1: The team list for the premier league. 🏆 Who will take home the trophy this season? 🤔 Bet now and find out! 🔥 #SkyBetPremierLeague #PremierLeague #Soccer #Football #Betting #SportsBetting"
2022,Image1 : a couple of hot dogs with deadpool faces on them. ,2023,2020-02-27 21:49:13,15,madebytam,"[Photo(previewUrl='https://pbs.twimg.com/media/ER0EvhpWsAE-f4B?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ER0EvhpWsAE-f4B?format=jpg&name=large')]",tam,"

Tweet: 🌭👀 Did you know that these hot dogs are giving you Deadpool vibes? 😂👍 Made by Tam, the perfect snack for your next Marvel movie marathon! 🎥🍔 #Deadpool #HotDogs #Tam #MadeByTam"
2023,,2024,2018-01-06 08:11:55,188,bbc5live,"[Gif(thumbnailUrl='https://pbs.twimg.com/tweet_video_thumb/DS1-ZpoU8AAJkWN.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/tweet_video/DS1-ZpoU8AAJkWN.mp4', bitrate=0)])]",bbc,"

Here is the tweet generated based on the provided information:

🚨Breaking News! 🚨 The #BBC has just released a shocking report revealing the true extent of the #CambridgeAnalytica scandal. 💥🔥 Don't miss out on the latest updates! #DataPrivacy #Facebook #Scandal "
2024,Image1 : chelsea's james and chelsea's james. ,2025,2020-11-07 19:45:31,652,BBCSport,"[Photo(previewUrl='https://pbs.twimg.com/media/EmPsPspWEAQLSOQ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EmPsPspWEAQLSOQ?format=jpg&name=large')]",bbc,"

Here is the generated tweet:

🚨 Breaking News! 🚨 Chelsea's James scores a stunning goal in tonight's match against Manchester United! 🔥🏆 #Chelsea #ManchesterUnited #Football #Soccer"
2025,Image1 : leicester city's leicester city's leicester city's leicester city's leicester city's leicester city's le. ,2026,2018-02-02 16:20:00,221,BBCSport,"[Photo(previewUrl='https://pbs.twimg.com/media/DVCsjHdXUAIRY6k?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DVCsjHdXUAIRY6k?format=jpg&name=large')]",bbc,"

Tweet:
🏆 Leicester City are flying high in the Premier League! 💨 Can they keep up the momentum? 🤔 #bbcsport #leicestercity #premierleague"
2026,"Image1 : wolverhampton wolves news, transfers, news, transfers, news, transfers, news, transfers, news, transfers,. ",2027,2020-01-19 22:15:00,232,BBCSport,"[Photo(previewUrl='https://pbs.twimg.com/media/EOrRmryXUAcqgmA?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EOrRmryXUAcqgmA?format=jpg&name=large')]",bbc,"

Tweet: 🚨 EXCLUSIVE: Wolverhampton Wolves transfer news! 🚨

We've got the latest on the club's transfer dealings, straight from the source! 💬🔥 #WolvesTransfers #BBCSport

(Image: 📸 Wolverhampton Wolves FC)"
2027,Image1 : the brick boys football team is featured in a poster. ,2028,2018-08-07 18:08:34,43,CoachBrown_MDN,"[Photo(previewUrl='https://pbs.twimg.com/media/DkBBnfbX4AALwgl?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DkBBnfbX4AALwgl?format=jpg&name=large')]",coach,"

Tweet:
🏈📸 Introducing the brick boys football team! 🔥🏆 Featured in our latest poster, these talented young athletes are making waves in the sports world. Join us in cheering them on as they take on the competition! 💪🏼 #BrickBoys #FootballTeam #CoachBrown_MDN "
2028,Image1 : two young boys wearing nike t - shirts. ,2029,2018-02-18 00:00:01,2,KidsFootLocker,"[Photo(previewUrl='https://pbs.twimg.com/media/DWRqM8kX4AAVjQA?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DWRqM8kX4AAVjQA?format=jpg&name=large')]",foot locker," Just provide the tweet.

Here is the tweet I generated based on the information provided:

""Get ready to slay the game with your little superstars! 💪🏼👦🏼⚽️ Two young boys rocking their Nike tees and ready to take on the world! 🌎🏆 #KidsFootLocker #Nike #SoccerSquad"""
2029,,2030,2018-08-21 23:14:42,45,PandaExpress,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1032043286834434048/pu/img/NUntm4Shb9eV0AiY.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1032043286834434048/pu/vid/720x720/GqzdosC51t-TQdkH.mp4?tag=5', bitrate=1280000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1032043286834434048/pu/vid/480x480/FAwJc2KfQVGurzzS.mp4?tag=5', bitrate=832000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1032043286834434048/pu/pl/pDI-IX2-a5PGkaCe.m3u8?tag=5', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1032043286834434048/pu/vid/240x240/k6GgmhwrQOKjz43I.mp4?tag=5', bitrate=256000)], duration=20.103, views=2772)]",express,"

Here is the tweet generated by the bot:

""Get ready for a flavorful surprise! 🍜👀 We just dropped a new menu item that's sure to satisfy your cravings. 😍 From crispy chicken to savory rice, every bite is a taste sensation. Come visit us today and try it out! 📸 #PandaExpress #NewMenu #FlavorfulSurprise"""
2030,Image1 : a blue shirt and a booklet with a picture of a cricket team. ,2031,2020-10-06 13:19:31,2,ProCoachCricket,"[Photo(previewUrl='https://pbs.twimg.com/media/EjphB-4X0AYGuR8?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EjphB-4X0AYGuR8?format=jpg&name=large')]",coach,"
Tweet: 🏆📚🎉 Coach Cricket's new booklet is here! 📝📱 Learn the secrets of our successful coaching methods and help your team dominate the pitch! 🏆💪 #CoachCricket #CricketCoaching #TeamSuccess

Please provide the tweet in the format of a Twitter post."
2031,Image1 : qatar airways email scam. ,2032,2018-02-15 07:21:50,0,salmajafri,"[Photo(previewUrl='https://pbs.twimg.com/media/DWDyiX_WkAA3Kr_?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DWDyiX_WkAA3Kr_?format=jpg&name=large')]",coach," Just create the tweet and post it.

Tweet: 
🚨 SCAM ALERT! 🚨 Don't fall victim to Qatar Airways email scams. 🚫 They're using fake emails to steal your personal information. 💻 Stay safe and never click on suspicious links or attachments. 💡 Report any suspicious emails to [email address]. #QatarAirways #EmailScams #OnlineSafety "
2032,,2033,2018-08-08 17:42:26,2604,BBCWorld,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1027248597228642309/pu/img/TDLbihr08H93zUfs.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1027248597228642309/pu/vid/360x638/LdAkRZvJadZYehNL.mp4?tag=5', bitrate=832000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1027248597228642309/pu/pl/b5QiBtZzETXd2HbH.m3u8?tag=5', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1027248597228642309/pu/vid/180x318/8h9JHFcu3OzCdEjd.mp4?tag=5', bitrate=256000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1027248597228642309/pu/vid/608x1080/Q-LPS5sZ5seLdI6A.mp4?tag=5', bitrate=2176000)], duration=48.6, views=180258)]",bbc,"

Here is the tweet generated based on the given information:

""🚨 Breaking News! 🌎 A new study reveals that #ClimateChange is causing #Rainforests to disappear at an alarming rate! 🌳🌈 Don't miss out on this exclusive report from @BBCWorld. #BBC #ClimateCrisis #Sustainability"""
2033,"Image1 : there are only two options, either you do something or you don't do anything at all. ",2034,2019-06-09 15:54:59,5,bacari34,"[Photo(previewUrl='https://pbs.twimg.com/media/D8oZikLWkAAa3OX?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/D8oZikLWkAAa3OX?format=jpg&name=large')]",coach," 

Example of a generated tweet:
""Don't let fear hold you back! 💪🏼 With only two options, either you do something or you don't do anything at all. 📸🔥 #Coach #Bacari34 #MotivationMonday""

Please provide the actual tweet you generated based on the given information."
2034,Image1 : the perfect place to start is with the human. ,2035,2020-10-26 16:00:17,0,UPMCpolicy,"[Photo(previewUrl='https://pbs.twimg.com/media/ElRFoN5X0AAw4Oi?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ElRFoN5X0AAw4Oi?format=jpg&name=large')]",upmc,"

Tweet:
🌟 Start with the human. 🤝 At UPMC, we believe in prioritizing our patients' well-being above all else. 🏥 Join us in our mission to provide the highest quality care. #UPMCpolicy #patientfirst #healthcare"
2035,,2036,2019-01-05 13:06:01,272,BBC,"[Video(thumbnailUrl='https://pbs.twimg.com/amplify_video_thumb/1079688583378862080/img/Rr_Zs4xld2nCkQzJ.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1079688583378862080/vid/720x720/jGuTtBbQULBQ2Hnd.mp4?tag=9', bitrate=1280000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/amplify_video/1079688583378862080/pl/62l2YMITo8gnWgJv.m3u8?tag=9', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1079688583378862080/vid/320x320/z2TbcWZOzVriDxmU.mp4?tag=9', bitrate=432000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1079688583378862080/vid/480x480/TkjeEpX3Ty0xiZug.mp4?tag=9', bitrate=832000)], duration=83.88, views=63761)]",bbc,"

Tweet: 🚨 Breaking News! 🚨 A shocking discovery has been made in the world of #space! 🌌 Get the exclusive details NOW! 🔥 #BBC #space #discovery"
